Combos Taken,Mean Square Error,Absolute Error
"Total Docs(2017), Ref/Doc",2.644490614806067,1.5173399754458021
"Total Docs(2017), Cites/Doc(2 Years)",0.1261274062375093,0.2226315409536961
"Total Docs(2017), Cites/Doc(2 Years), Ref/Doc",0.11927191573088645,0.21550864140373027
"Total Docs(2017), Citable Docs(3 Years)",3.055703770704774,1.6757266193659406
"Total Docs(2017), Citable Docs(3 Years), Ref/Doc",2.6287244805912295,1.5156723939440502
"Total Docs(2017), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1251560482915497,0.2225369878083801
"Total Docs(2017), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.1182419517655716,0.21577911536571082
"Total Docs(2017), Total Cites(3 Years)",2.082014443424045,1.3756489752597303
"Total Docs(2017), Total Cites(3 Years), Ref/Doc",1.8521978325026167,1.2629955217344269
"Total Docs(2017), Total Cites(3 Years), Cites/Doc(2 Years)",0.1240993178517576,0.22139609172269895
"Total Docs(2017), Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11723038419040054,0.21429393790654727
"Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years)",2.137424001558383,1.3555069760602865
"Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",2.0051224524459608,1.2735847201545833
"Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1253374359434791,0.22277492680891267
"Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11784672287793359,0.21488724340018864
"Total Docs(2017), Total Refs",3.1155390646389,1.6842298963082054
"Total Docs(2017), Total Refs, Ref/Doc",2.775611455481245,1.5037628595888635
"Total Docs(2017), Total Refs, Cites/Doc(2 Years)",0.12752568416079715,0.22478787854669963
"Total Docs(2017), Total Refs, Cites/Doc(2 Years), Ref/Doc",0.11927730825481679,0.21551703009038892
"Total Docs(2017), Total Refs, Citable Docs(3 Years)",3.0978683570090295,1.6807598111344069
"Total Docs(2017), Total Refs, Citable Docs(3 Years), Ref/Doc",2.746592725919904,1.499782142369751
"Total Docs(2017), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.12624502623728176,0.22566166232791846
"Total Docs(2017), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.1185173037647153,0.21643946355741342
"Total Docs(2017), Total Refs, Total Cites(3 Years)",2.043154598661652,1.3642832820068451
"Total Docs(2017), Total Refs, Total Cites(3 Years), Ref/Doc",1.712163181947386,1.2041548422879014
"Total Docs(2017), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12370831668516319,0.22010994620979152
"Total Docs(2017), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11729169750915203,0.21417213015510067
"Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",2.1934462203215133,1.3676993881493782
"Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.8982440110014498,1.2404777772559628
"Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12416956114875283,0.2202687514986873
"Total Docs(2017), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11783607408270431,0.21475212570897215
"Total Docs(2017), Total Docs(3 Years)",3.0442544247607355,1.6727302212487232
"Total Docs(2017), Total Docs(3 Years), Ref/Doc",2.6143115013653824,1.5128988957188332
"Total Docs(2017), Total Docs(3 Years), Cites/Doc(2 Years)",0.12510310115295872,0.22275559857282778
"Total Docs(2017), Total Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11834853055702091,0.2160470659269561
"Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years)",3.058399884963035,1.6568363614132484
"Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years), Ref/Doc",2.585991380502932,1.4716006044275503
"Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1282833929813321,0.22566760209849332
"Total Docs(2017), Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12145728540164596,0.21828400293453928
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years)",2.1332572529935696,1.3584262710604011
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Ref/Doc",1.9900619771043604,1.2744091486227425
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years)",0.12452230619129744,0.22171782184804484
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11737007963355028,0.2141899339597079
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years)",2.0082943739999664,1.3131807123175843
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.845756520153979,1.2161197799411751
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12777109547185142,0.22478534370574804
"Total Docs(2017), Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12088415993841546,0.21682457467454067
"Total Docs(2017), Total Docs(3 Years), Total Refs",3.0904358219224393,1.6782430930123564
"Total Docs(2017), Total Docs(3 Years), Total Refs, Ref/Doc",2.733307235798799,1.496175832798769
"Total Docs(2017), Total Docs(3 Years), Total Refs, Cites/Doc(2 Years)",0.12626332589988873,0.2259776227183517
"Total Docs(2017), Total Docs(3 Years), Total Refs, Cites/Doc(2 Years), Ref/Doc",0.1186730923657144,0.21680238787428238
"Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years)",3.0733248608790587,1.65853542524038
"Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Ref/Doc",2.722650507111043,1.4581041646866058
"Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.12945453974392665,0.22764156624049836
"Total Docs(2017), Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12168612593157849,0.21871211719562525
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years)",2.15876778168972,1.3642431815580107
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Ref/Doc",1.8582226426442263,1.233176754859739
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12375176520740626,0.21988261960792144
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11738815698486811,0.21404662559250912
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",2.0932406267318324,1.3345866312508283
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.7785195191468153,1.1922249807176917
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1269802471216844,0.22389521406746293
"Total Docs(2017), Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.1208836150261863,0.2168653464650174
H-Index,1.3967724669933252,1.0870196347294288
"H-Index, Ref/Doc",1.274247127390905,0.9930376757782309
"H-Index, Cites/Doc(2 Years)",0.12988644704105712,0.22751026516173858
"H-Index, Cites/Doc(2 Years), Ref/Doc",0.12112738984447008,0.2165696649410431
"H-Index, Citable Docs(3 Years)",1.3691096887044638,1.0666066550173818
"H-Index, Citable Docs(3 Years), Ref/Doc",1.2662463265476276,0.9817202470900301
"H-Index, Citable Docs(3 Years), Cites/Doc(2 Years)",0.1255483625510052,0.2240428319819212
"H-Index, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11823651319805781,0.21613375978711968
"H-Index, Total Cites(3 Years)",1.4280811453581863,1.121044488447948
